,id,area_shot,area_goal,opps_in_n_angle,goalkeeper_x,goalkeeper_y
50,23d74ba8-6e5d-4855-8b3a-81b310e9d35a,4870.251458067301,459.4062961283979,2.0,105.0,31.255
51,25dace9c-6bf8-4ada-8a4f-bad0485141c9,4639.790709465614,476.28270721487615,2.0,104.08333333333333,34.0
52,28c07afb-53b7-497f-9bb0-1c586c27e2de,5534.055431381504,522.8844388510774,2.0,104.08333333333333,33.085
53,3279e6e0-c796-4871-aaaa-75344dc903b8,1660.753280934521,462.87406751582614,2.0,103.16666666666667,34.0
54,35365588-1c8c-4684-a689-009baaa213eb,3910.5071595782556,726.7918774393004,1.0,104.08333333333333,31.255
55,36501ef3-8282-4688-b02b-2a4b2afd7c52,5490.688724363013,594.1652381375782,2.0,104.08333333333333,34.0
56,3694f1e9-a8f7-458a-b5ae-8c41290c4a61,6466.581366983502,485.83117989822694,2.0,104.08333333333333,34.915
57,3f0fc8e9-a09f-480a-9396-132e1ca05ec5,3363.6724636026333,520.6831233048558,3.0,104.08333333333333,35.83
58,557d6915-da01-41b9-bbbe-3be813687981,2011.5316348660563,1055.5174570190939,2.0,103.16666666666667,34.0
59,5e58cab7-75c2-47f8-903c-2874de6ed5b0,5399.349480867822,664.9535468367933,3.0,104.08333333333333,34.0
60,5ec8ad61-9926-4aeb-886d-bb08893dcb8b,4529.399885981539,465.2806300884972,1.0,104.08333333333333,34.915
61,624a8c1d-b775-4a4f-85e8-a516aed3f3a5,5132.978159937248,493.64281556757277,2.0,104.08333333333333,35.83
62,62a616ea-6791-422c-af80-1683d22bb9f5,840.5571789170056,800.7978002689993,2.0,104.08333333333333,34.915
63,63832316-d642-49f7-b916-5dc798dddf5b,5823.920800488137,327.79235169574036,3.0,104.08333333333333,34.915
64,66621464-d935-45f5-93ff-08ff58d59695,4479.991960844456,782.3078796580517,1.0,104.08333333333333,33.085
65,67fe94ed-4bfb-4e04-8917-69a7309fad63,1465.68674881986,1619.6411008326922,2.0,102.25,34.0
66,6bb71b25-4cb6-4b85-ba5c-34421324df56,6534.985405035571,177.96521827817844,6.0,103.16666666666667,34.915
67,78663f30-620a-4c73-b561-a8bd69befedb,2983.5732122687878,0.0,1.0,,
68,7f753ce7-7844-4c3a-88ef-aea46bba3b30,1044.7407556751698,461.4114269607603,3.0,104.08333333333333,35.83
69,8f8e72de-35ea-4b3a-afbc-b481eb8a6dfd,3652.086423791842,480.7372242911778,1.0,103.16666666666667,35.83
70,911822bd-a8de-484c-a50d-7e195234e02c,3380.1687970556836,22.474687499999863,7.0,105.0,34.0
71,9908e8df-78de-4d0c-893e-2b63fbb74cb7,25.179859655517177,708.6338917967878,1.0,103.16666666666667,35.83
72,9b82eaa3-2048-4157-aa9a-eabeb4fa0ebe,44.65645057187201,886.1460124999996,1.0,105.0,46.82666666666666
73,aa61a970-412b-4047-9e83-7555142ca1c9,6698.796638903886,255.84097152355827,3.0,105.0,32.17
74,c712083a-caaa-4647-a000-90462b9c42a0,5174.893524973925,170.8080108202871,3.0,105.0,32.17
75,c734bfe5-2180-4672-9c5f-b0eddb616bdc,3847.0475165864314,1064.7243102535929,2.0,104.08333333333333,35.83
76,d054fa39-f8ca-4ad6-a67f-efc043fee907,6275.993851502759,428.21045801120766,5.0,104.08333333333333,34.915
77,d72c23e0-18f0-45d5-803f-e965701661f2,5940.411287561914,626.6564253659857,2.0,104.08333333333333,32.17
78,e5010659-cc4d-4e2c-b4f5-f80a6ebd1b01,5734.238332415469,667.2452383043562,3.0,103.16666666666667,34.0
79,ea3833bf-1f02-4fba-9b27-8a1ebc28d732,4434.585455182371,492.3525987713157,1.0,104.08333333333333,32.17
80,ed775af4-0882-44af-95f7-4ebabbaba854,3309.3066187716026,253.11192767327327,0.0,104.08333333333333,28.506666666666668
81,f146cf33-7b53-433d-b8e5-febb0b76ceae,3725.2400802806787,411.66479902665844,2.0,104.08333333333333,36.745
82,1b7670e8-f49c-4592-a9f7-7a84c8be383c,4242.53995134493,873.7639143947366,3.0,103.89999999999999,34.091499999999996
83,21d4358a-4fd2-42f4-aa7a-4fca63a1d31c,7212.875461353654,202.04216369122338,3.0,102.98333333333333,32.2615
84,26df0e1d-c4c4-4f17-be5a-00dee115e1f1,6351.574402945946,869.9098128835348,2.0,102.8,35.281
85,413315e0-2647-4e82-a234-018d877c121d,6553.674676977557,956.1368981805592,1.0,99.5,31.986999999999995
86,553faf7a-bfee-4c1a-a4cb-3982394c8c71,4174.103075169091,843.2155346974799,4.0,104.08333333333333,34.274499999999996
87,605b8a7b-02d0-4a0a-88d6-a12c8f3fa4b1,3018.5278319546833,533.8580095982821,2.0,103.71666666666667,34.091499999999996
88,703e0f5e-c781-4f6c-8be6-4df712f403e1,3474.2504316695636,844.86427228185,2.0,103.25833333333333,34.0
89,7cf56855-5938-49bd-8fce-8542b8ebbb7d,5514.843069201394,585.0134993423758,0.0,96.75,31.1635
90,809621c6-d852-471a-961c-af4480468eac,5173.256431288483,341.61894315357404,1.0,103.625,34.0
91,883b9214-4798-4690-9f95-1a2025129ff1,5395.723596799446,126.7874428771652,2.0,103.16666666666667,30.706
92,9ee7eb6b-cef9-4173-874f-30a87c764041,6223.925934522603,809.5271997272158,3.0,104.35833333333333,33.9085
93,a0676f8e-f693-4f66-8fa7-15828a35285a,3237.0835367985615,87.44442871445649,3.0,98.49166666666667,34.549
94,abcb0b02-39a1-4275-9ad4-6df0217034ce,4246.45779900993,596.2422733011892,3.0,103.35000000000001,34.915
95,c49c5561-9253-40a2-a6ce-77f9cd91b828,5107.653411791869,909.5220522355379,4.0,103.99166666666667,33.9085
96,cdf46b32-a097-4c6f-b94e-ec13c6b4c7d0,4749.372336493821,460.8933492312187,0.0,103.89999999999999,30.889
97,d19d1821-5af7-49e4-aaaf-894b43107335,3291.9746522730316,635.3392510426113,1.0,104.175,37.2025
98,f345a814-b4fa-489f-b5e4-c63981a559ac,3285.008654220028,1093.9874917112895,2.0,103.53333333333333,36.013
99,f6b27ef6-e9db-4dbc-820e-3d402146b370,3351.6907078933186,897.1980417908575,3.0,102.8,36.4705
100,03b64908-0a6c-4f74-a7c8-ea984507548b,1736.4001776340826,1694.0126350966198,2.0,104.45,33.45099999999999
101,0474cdf7-edcd-49b6-b96b-3850d79c57a7,3715.722165013045,1338.9402207229257,1.0,103.80833333333334,34.6405
